P01901859A0000|0 64|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P02760922A0000|0 63|Heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1
P07629103T0000|0 54|CCAAT/enhancer-binding protein isoforms beta and delta
P09028942A0000|0 54|Human granulocyte-macrophage colony-stimulating factor
P09882303T0000|0 52|Epstein-Barr virus-encoded latent membrane protein 1
P08013457A0342|0 50|Src homology (SH) domain dependent protein-protein
P09268298T0000|0 50|Ent-kaurene synthase from the fungus Phaeosphaeria
P10559303A0000|0 50|Epstein-Barr virus (EBV) latent membrane protein 1
P08625900T0000|0 50|Pituitary adenylate cyclase-activating polypeptide
P01542565T0000|0 49|Nuclear-encoded chloroplast ribosomal protein L12
P08631958T0000|0 49|Human cytomegalovirus immediate-early protein IE2
P07897696A0000|0 49|Erythrocyte delta-aminolevulinic acid dehydratase
P08072547A0690|0 48|Ras- and ultra-violet-responsive protein kinases
P01448932T0000|0 47|Rice dwarf phytoreovirus segment S12 transcript
P10687855T0000|0 47|Mouse growth hormone transcription factor Zn-16
P09013760A0000|0 47|Cholesterol side-chain cleavage cytochrome P450
P09211913A0000|0 46|Aryl hydrocarbon receptor nuclear translocator
P07693708A0000|0 44|Insulin-like growth factor-binding protein-2
P09882337A0000|0 44|Varicella-zoster virus (VZV) glycoprotein gI
P10938102T0000|0 44|Eukaryotic translation initiation factor 4GI
P07476963A0000|0 43|Peroxisome proliferator-activated receptors
P09723896A0000|0 43|Peroxisome proliferator-activated receptors
P08163528T0000|0 43|Mitochondrial Mas70p signal anchor sequence
P08464056A0000|0 42|Finger associated box-zinc finger proteins
P09275159T0000|0 42|Heterogeneous nuclear ribonucleoprotein A1
P10779508T0000|0 42|Estrogen receptor-related receptor alpha 1
P02223773A0000|0 39|Chick brain actin depolymerizing factor
P10022880A0000|0 39|Mammalian Ras GTPase-activating protein
P07494303A0000|0 39|Human immunodeficiency virus type 1 Vpr
P07745684T0000|0 39|Human papillomavirus type 31b late gene
P07711730A0000|0 39|Carnitine palmitoyltransferase (CPT) II
P07935451T0000|0 38|Human T-cell leukemia virus type I Tax
P11278390A0632|0 38|Reverse transcriptase-polymerase chain
P10224293A0000|0 38|Receptor protein tyrosine phosphatases
P09701616A0108|0 38|Reverse transcriptase-polymerase chain
P02142921T0000|0 37|Luteinizing hormone-releasing hormone
P11422200A0000|0 37|Granulocyte colony-stimulating factor
P11059777A0813|0 37|Terminal deoxynucleotidyl transferase
P08709224T0000|0 36|Epstein-Barr virus nuclear protein 2
P09372908A1068|0 36|Polyhomeotic and Posterior Sex Combs
P01324404A1208|0 35|HNF-3 beta amino-terminal sequences
P10551879T0000|0 35|Cyclic AMP-dependent protein kinase
P08882710A0000|0 35|Interferon stimulated gene factor 3
P01870194A0302|0 35|Human immunodeficiency virus type 1
P09579808A0000|0 35|UDP-GlcNAc:alpha-6-D-mannoside beta
P02243093A0000|0 34|Human T-cell leukemia virus type I
P11264182A0000|0 34|Human T-cell leukemia virus type I
P10865838A0000|0 34|Vascular endothelial growth factor
P11689217T0000|0 34|Cholesteryl ester transfer protein
P01158512T0000|0 33|Glucose-6-phosphate dehydrogenase
P10079173A0000|0 33|Human neuronal Elav-like proteins
P09223475A0898|0 33|Chloramphenicol acetyltransferase
P11062067A0000|0 33|Stress-activated protein kinase 1
P01452584T0000|0 33|Pseudomonas aeruginosa exotoxin A
P08352268A0000|0 32|Recombinant human erythropoietin
P10212278A0387|0 32|Stress-inducible protein kinases
P09784245T0000|0 32|Cardiac myosin-binding protein C
P11059786T0000|0 32|Epidermal growth factor receptor
P10585463A0859|0 32|Recombinant prenylcysteine lyase
P11029459A0000|0 32|Transforming growth factor-beta1
P09827993A0000|0 32|Retroviral nucleocapsid proteins
P00027739T0000|0 31|Serum gamma glutamyltransferase
P08504928T0000|0 31|Drosophila 230-kD TFIID subunit
P11435428A0000|0 31|Cytosolic acetyl-CoA synthetase
P11593394A0000|0 31|Transforming growth factor-beta
P06684624A0736|0 31|Urinary N-acetylglucosaminidase
P10490835T0000|0 31|Protein kinase A-Ialpha subunit
P05789870T0001|0 31|Phosphate glucose dehydrogenase
P02176822A0000|0 30|Multifunctional protein kinase
P09426595T0000|0 30|Lysine-ketoglutarate reductase
P10747099A0507|0 30|Extracellular-regulated kinase
P08386317T0000|0 30|Nuclear protein phosphatase 2A
P07999995A0000|0 30|A receptor-like protein kinase
P10375718A0000|0 30|Basic fibroblast growth factor
P07852400A0519|0 30|Rho GDP/GTP exchange inhibitor
P08816504T0000|0 30|Platelet-derived growth factor
P08995410A0000|0 30|Eukaryotic initiation factor 3
P00033873T0001|0 29|Gamma glutamyl transpeptidase
P09365272T0000|0 29|Xenopus Ran-binding protein 1
P11509615T0000|0 29|Phosphatidylinositol 3-kinase
P11029467T0000|0 29|Vasoactive intestinal peptide
P09592125A0000|0 29|Class I alpha1,2-mannosidases
P10545192T0000|0 29|Phosphatidylinositol 3-kinase
P01529530T0000|0 29|Interferon-alpha-induced gene
P02474093T0000|0 29|Angiotensin converting enzyme
P00234264A0164|0 29|Gamma glutamyl transpeptidase
P03167060A0000|0 29|Insulin-like growth factor II
P09230216T0000|0 29|Human thymine-DNA glycosylase
P08355697A0000|0 29|Protein tyrosine phosphatases
P03928678T0000|0 29|Thyrotropin-releasing hormone
P01284828T0001|0 28|Tissue plasminogen activator
P08816792A0000|0 28|DNA-dependent protein kinase
P07567300T0000|0 28|Staphylococcal enterotoxin A
P09333018A0000|0 28|Interferon Regulatory Factor
P10488088T0000|0 28|Insulin-like growth factor-I
P07737944A0000|0 28|Hematopoietic growth factors
P01930660T0000|0 28|Insulin-like growth factor 1
P11145571A0788|0 28|IFN-stimulated gene factor-3
P07521601A0000|0 28|Hematopoietic growth factors
P10965905T0000|0 28|Insulin receptor substrate-1
P01989999A0000|0 27|Adenylosuccinate synthetase
P07628389A0145|0 27|Tumor necrosis factor-alpha
P09421521T0000|0 27|Holliday junction resolvase
P03014515T0000|0 27|Human alpha-galactosidase A
P09545638A0836|0 27|Recombinant HRMT1L2 protein
P07820057A0000|0 27|Tumor necrosis factor alpha
P10066798A0391|0 27|Cyclin D1-associated kinase
P10766246A0000|0 27|Integrin adhesion receptors
P08119149A0000|0 27|Tumor necrosis factor-alpha
P07963540A0795|0 27|Recombinant I-kappa B alpha
P07961958T0000|0 27|Rat kidney carboxylesterase
P02188168A0000|0 26|Serum beta 2-microglobulin
P09360993T0000|0 26|Mouse mast cell protease 9
P10212284A0000|0 26|Transforming growth factor
P10196318T0000|0 26|CCAAT displacement protein
P08917449A0000|0 26|Leukemia-inhibitory factor
P09924987A0000|0 26|Pokeweed antiviral protein
P08925545T0001|0 26|Recombinant erythropoietin
P09047344A0000|0 26|Calmodulin-binding peptide
P02489032A0000|0 26|Immunoglobulin light chain
P02648646A0216|0 26|Platelet activating factor
P01694525A0000|0 25|Isopenicillin N isomerase
P07688112A0274|0 25|Prostate specific antigen
P10452951A0000|0 25|Nuclear hormone receptors
P09763470A0000|0 25|Dopamine beta-hydroxylase
P10811804A0000|0 25|Mitogen-activated protein
P09843577A0000|0 25|Schizosaccharomyces pombe
P08647086T0000|0 25|Cyclin-dependent kinase-2
P09380507A0514|0 25|Glutathione S-transferase
P10232600T0000|0 25|Prostate-specific antigen
P02739739T0000|0 25|COUP transcription factor
P10402467T0000|0 25|Myosin light chain kinase
P00780639X0000|0 24|Carcinoembryonic antigen
P09521907A0190|0 24|Drosophila orthodenticle
P10799590A0431|0 24|Jkappa DNA-binding sites
P02392511T0000|0 24|Serotonin 5-HT2 receptor
P09773975A1873|0 24|Wild-type AT1A receptors
P01873999A0000|0 24|Saccharomyces cerevisiae
P11356835A0000|0 24|Saccharomyces cerevisiae
P09748261A0000|0 24|Saccharomyces cerevisiae
P09199970A1101|0 24|Recombinant soluble pMCP
P10393192A0792|0 24|Neurospora crassa CYT-18
P10611320A0816|0 24|Saccharomyces cerevisiae
P07557276A0526|0 24|Alanine aminotransferase
P01572549A0000|0 24|Protein tyrosine kinases
P08188258A0000|0 24|Glutamyl-tRNA synthetase
P01992953T0000|0 24|Alanine aminotransferase
P07112320A0086|0 23|CSF adenosine deaminase
P09234727A0770|0 23|Gal4-Eed fusion protein
P08824798A0761|0 23|Human ESP1/CRP2 protein
P09670943T0000|0 23|B cell antigen receptor
P08871635A0000|0 23|B cell antigen receptor
P02209811T0000|0 22|Horseradish peroxidase
P09914500A0000|0 22|Nuclear factor kappa B
P02572777T0000|0 22|Tumour necrosis factor
P11223240A0655|0 22|Drosophila Menin1 gene
P04518624T0000|0 22|Glutathione peroxidase
P08395654T0000|0 22|Steroidogenic factor 1
P08389453A0193|0 22|Uracil DNA glycosylase
P09312025T0000|0 22|Protein phosphatase 2A
P04364369T0000|0 22|Pre-beta-1 lipoprotein
P02252891T0000|0 21|65-kilodalton protein
P08955159A0000|0 21|Human acid ceramidase
P06795119T0000|0 21|Lens aldose reductase
P07693975T0000|0 21|Reverse transcriptase
P09099683A0000|0 21|Diacylglycerol kinase
P02669199A0000|0 21|Tumor necrosis factor
P09218459A0000|0 21|Serum response factor
P10606664A0000|0 21|Snail family proteins
P09712898T0000|0 21|Tumor necrosis factor
P01330077A0000|0 20|T-cell receptor beta
P08473731A0149|0 20|B cell-specific mb-1
P07490083A0000|0 20|Carbonic anhydrase V
P09363759A0000|0 20|Protein phosphatases
P09521909A0081|0 20|APETALA3 transcripts
P07841663A0685|0 20|Superoxide dismutase
P09751114A0967|0 20|Wild-type and mutant
P10542269A0000|0 20|Amyloid beta-protein
P08627354A0000|0 20|Vertebrate synapsins
P02761008X0000|0 20|Brain cholinesterase
P01083375T0000|0 19|Alpha-1 antitrypsin
P09015799T0000|0 19|Serotonin receptors
P09003312A0740|0 19|Full-length AT-PHH1
P08776901A0000|0 19|Chloroplast mutator
P09622121A0525|0 19|Anti-PTB antibodies
P09751061A0000|0 19|POU-domain proteins
P02293019A0000|0 19|Antileukoproteinase
P08463284A1531|0 19|Nuclear beta II PKC
P01822995T0000|0 19|Maize rbcS promoter
P10980416T0000|0 19|Parathyroid hormone
P11158236A0000|0 19|Nerve growth factor
P11027724A0335|0 19|Recombinant BRI1-KD
P02196565T0000|0 19|Yeast Gal11 protein
P08166402A0631|0 19|Cerebral125 albumin
P08107167A0222|0 19|Anti-B. burgdorferi
P01437562A0462|0 19|Anti-CRK antibodies
P08887647T0000|0 19|Fission yeast mal2+
P01316903A1040|0 18|RNA polymerase IIA
